,Data X,,,,,,,
0,1.331586504,,,,,,,
1,0.715278974,,,,,,,
2,-1.545400292,,,,,,,
3,-0.00838385,,asdasdas,,,,,
4,0.621335974,asdas,,,,,,
5,-0.720085561,,,,,,,adsdas
6,0.265511586,,,,sssssssssss,,,
7,0.108548526,,,,sssssssssss,,,
8,0.004291431,,,,,,,
9,-0.174600211,,,,,,,
10,0.43302619,,,,,,,
11,1.203037374,,,,,,,
12,-0.965065671,,,,,,,
13,1.028274078,,,,,,,
14,0.22863013,,,,,,,
15,0.445137613,,,,,,,
16,-1.136602212,,,,,adasd,,
17,0.135136878,,,,,,,
18,1.484537002,,,,,,,
19,-1.079804886,,,,,,,
20,-1.977728281,,,,,,,
21,-1.743372296,,,,,,,
22,0.266070164,,,,,,,
23,2.384967331,,,,,,,
24,1.123691253,,,,,,,
25,1.672622213,,,,,,,
26,0.099149216,,,,,,,
27,1.397996377,,,,,,,
28,-0.271247988,,,,,,,
29,0.613204185,,,,,,,
30,-0.267317189,,,,,,,
31,-0.549309014,,,,,,,
32,0.132708296,,,,,,,
33,-0.476142015,,,,,,,
34,1.308473081,,,,,,,
35,0.195013279,,,,,,,
36,0.400209988,,,,,,,
37,-0.337632337,,,,,,,
38,1.256472264,,,,,,,
39,-0.731969502,,,,,,,
40,0.660231551,,,,,,,
41,-0.350871891,,,,,,,
42,-0.93943336,,,,,,,
43,-0.489337217,,,,,,,
44,-0.804591142,,,,,,,
45,-0.212697639,,,,,,,
46,-0.339140246,,,,,,,
47,0.312169936,,,,,,,
48,0.56515267,,,,,,,
49,-0.147420258,,,,,,,
50,-0.025905337,,,,,,,
51,0.289094204,,,,,,,
52,-0.539879071,,,,,,,
53,0.70816002,,,,,,,
54,0.842224738,,,,,,,
55,0.203580797,,,,,,,
56,2.394703665,,,,,,,
57,0.917458938,,,,,,,
58,-0.112272471,,,,,,,
59,-0.362180447,,,,,,,
60,-0.232182256,,,,,,,
61,-0.5017289,,,,,,,
62,1.128785153,,,,,,,
63,-0.69781003,,,,,,,
64,-0.081122184,,,,,,,
65,-0.529296081,,,,,,,
66,1.046182857,,,,,,,
67,-1.418556029,,,,,,,
68,-0.362499183,,,,,,,
69,-0.121905691,,,,,,,
70,0.319356421,,,,,,,
71,0.460902902,,,,,,,
72,-0.215789892,,,,,,,
73,0.989072457,,,,,,,
74,0.314753779,,,,,,,
75,2.467651056,,,,,,,
76,-1.508321487,,,,,,,
77,0.620600663,,,,,,,
78,-1.045132538,,,,,,,
79,-0.798008818,,,,,,,
80,1.985084591,,,,,,,
81,1.744814148,,,,,,,
82,-1.856185481,,,,,,,
83,-0.222773699,,,,,,,
84,-0.065847848,,,,,,,
85,-2.131712108,,,,,,,
86,-0.048830511,,,,,,,
87,0.393341217,,,,,,,
88,0.217265145,,,,,,,
89,-1.99439377,,,,,,,
90,1.107708235,,,,,,,
91,0.244543977,,,,,,,
92,-0.061912029,,,,,,,
93,-0.753892961,,,,,,,
94,0.711959017,,,,,,,
95,0.918269151,,,,,,,
96,-0.482093139,,,,,,,
97,0.089587613,,,,,,,
98,0.826998623,,,,,,,
99,-1.95451212,,,,,,,
100,20.75529996,,,,,,,
101,20.87948569,,,,,,,
102,19.7600437,,,,,,,
103,19.30494335,,,,,,,
